customer_id,first_name,last_name,age,email,state,annual_income,credit_score,account_balance,product_type,customer_segment,onboard_date,is_active,branch_id,source_system,created_at
CUST000001,Danielle,Johnson,48,john21@example.net,TX,45118,741,3849.11,CHECKING_SAVINGS,RETAIL,2018-10-18,1,BR004,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000002,Joy,Gardner,63,fjohnson@example.org,IL,42595,671,13132.13,PREMIUM,RETAIL,2015-07-05,1,BR008,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000003,Jesse,Guzman,64,jennifermiles@example.com,IL,77688,652,90342.61,SAVINGS,MASS_MARKET,2022-02-19,1,BR019,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000004,Jeffrey,Lawrence,49,blakeerik@example.com,NY,37121,652,121433.63,CHECKING,RETAIL,2022-03-11,1,BR005,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000005,Matthew,Moore,45,curtis61@example.com,CA,25000,552,143586.24,CHECKING_SAVINGS,RETAIL,2016-07-30,1,BR012,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000006,Melanie,Munoz,34,blairamanda@example.com,NY,26696,715,90598.53,CHECKING,MASS_MARKET,2022-10-25,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000007,Christian,Carter,29,barbara10@example.net,TX,25000,807,82850.89,CHECKING_SAVINGS,MASS_MARKET,2018-04-09,1,BR002,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000008,Jeremy,Roberts,38,wyattmichelle@example.com,CA,51047,576,115982.94,CHECKING,RETAIL,2016-09-19,1,BR015,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000009,Joshua,Reid,34,francisco53@example.net,NY,52394,597,24481.85,CHECKING_SAVINGS,RETAIL,2019-07-17,1,BR022,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000010,Joseph,Zuniga,47,lynchgeorge@example.net,TX,34187,666,91408.74,SAVINGS,MASS_MARKET,2019-03-02,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000011,John,Ford,33,veronica83@example.net,NY,148950,688,148429.55,SAVINGS,MASS_MARKET,2020-07-08,1,BR025,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000012,Mark,Tate,27,perezantonio@example.com,TX,80300,592,34434.31,CHECKING,AFFLUENT,2021-10-28,1,BR007,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000013,Richard,Jones,44,jason76@example.net,IL,25000,583,131467.51,CHECKING_SAVINGS,RETAIL,2023-06-30,1,BR021,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000014,Stephen,Baker,44,julieryan@example.net,FL,76349,703,21516.45,SAVINGS,RETAIL,2019-06-21,1,BR014,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000015,Brenda,Hurst,40,icox@example.net,IL,40918,571,59970.14,SAVINGS,RETAIL,2023-09-02,1,BR025,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000016,Trevor,Campos,31,hernandezernest@example.net,TX,37183,774,129179.33,SAVINGS,MASS_MARKET,2017-09-21,1,BR014,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000017,Robert,Brown,46,dcarlson@example.net,IL,25000,715,9622.8,PREMIUM,MASS_MARKET,2022-12-18,1,BR018,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000018,John,Tran,36,frazierdanny@example.net,TX,32658,738,102074.48,CHECKING,MASS_MARKET,2019-07-16,1,BR011,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000019,Karen,Mack,56,daniel62@example.com,TX,85713,622,44095.67,SAVINGS,AFFLUENT,2015-01-21,0,BR024,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000020,Aaron,Bowen,37,teresa28@example.org,NY,59799,768,145786.03,SAVINGS,MASS_MARKET,2016-10-23,1,BR010,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000021,Monica,Evans,35,ericfarmer@example.net,IL,43853,601,91384.63,SAVINGS,AFFLUENT,2017-09-30,1,BR025,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000022,Stephanie,Nielsen,25,georgetracy@example.org,IL,79818,798,137782.17,CHECKING_SAVINGS,AFFLUENT,2015-05-02,1,BR012,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000023,Sarah,Koch,40,john39@example.org,NY,89511,718,35993.9,SAVINGS,MASS_MARKET,2016-05-04,1,BR016,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000024,Christopher,Tucker,32,spenceamanda@example.org,TX,60890,813,146699.88,SAVINGS,RETAIL,2023-02-01,0,BR006,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000025,David,Alvarez,41,josephbrennan@example.com,NY,125340,480,79198.3,PREMIUM,RETAIL,2018-06-03,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000026,Tamara,Hickman,53,jenniferross@example.net,NY,51649,666,65771.2,PREMIUM,RETAIL,2019-03-21,1,BR011,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000027,Debra,Kim,43,omartinez@example.org,TX,25000,672,88287.48,SAVINGS,MASS_MARKET,2018-09-30,1,BR023,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000028,Matthew,Chapman,46,briannasmith@example.net,TX,118983,648,34418.37,CHECKING,AFFLUENT,2016-03-16,1,BR009,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000029,Crystal,Perez,30,heathchad@example.org,FL,36277,763,32214.1,SAVINGS,MASS_MARKET,2023-01-16,1,BR016,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000030,Joshua,Washington,46,jenniferkhan@example.net,FL,35672,731,28642.45,CHECKING,MASS_MARKET,2022-05-02,1,BR014,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000031,Thomas,Mueller,43,glee@example.net,FL,87657,633,129589.13,CHECKING,MASS_MARKET,2016-09-03,1,BR024,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000032,Ryan,Henderson,37,dshields@example.net,NY,38744,572,120108.82,CHECKING,RETAIL,2018-04-05,1,BR015,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000033,Denise,Lucas,46,powellmatthew@example.org,CA,57333,690,63340.06,CHECKING_SAVINGS,AFFLUENT,2019-04-02,1,BR003,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000034,John,Lee,38,ltaylor@example.com,FL,25000,656,121222.53,CHECKING,RETAIL,2015-04-02,0,BR025,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000035,Steven,Baxter,37,ramosmichelle@example.net,CA,30291,677,25030.04,PREMIUM,AFFLUENT,2018-08-21,1,BR002,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000036,Corey,Pearson,47,novaksara@example.org,CA,152011,703,56908.07,PREMIUM,AFFLUENT,2022-09-28,1,BR023,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000037,Gabriel,Tucker,45,michellebarrera@example.org,IL,46879,536,99314.51,PREMIUM,RETAIL,2018-03-25,1,BR002,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000038,Nicholas,Galloway,41,sara74@example.com,IL,50824,850,110387.0,CHECKING,MASS_MARKET,2020-05-02,1,BR019,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000039,Heather,Cross,39,smoore@example.org,FL,58743,687,75477.27,SAVINGS,RETAIL,2023-08-22,1,BR006,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000040,Tanya,Riley,25,adkinsbrian@example.net,TX,97313,750,89295.76,SAVINGS,AFFLUENT,2017-01-14,0,BR019,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000041,Thomas,Calhoun,53,brianromero@example.org,CA,28406,802,86879.97,CHECKING,MASS_MARKET,2016-05-24,1,BR019,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000042,Casey,Jones,22,richarddavid@example.net,IL,69711,850,78465.13,CHECKING_SAVINGS,RETAIL,2020-05-06,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000043,John,Wheeler,28,barnesbrandy@example.net,CA,34899,697,100786.36,CHECKING_SAVINGS,AFFLUENT,2020-05-18,0,BR003,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000044,Leslie,Green,34,john62@example.net,TX,25000,695,68797.0,CHECKING,RETAIL,2018-08-17,1,BR005,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000045,Debbie,Bryant,27,smithchristine@example.net,NY,65130,616,132141.54,SAVINGS,AFFLUENT,2019-11-06,1,BR018,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000046,Wendy,Jones,63,williamanderson@example.com,NY,30639,664,91790.5,CHECKING,MASS_MARKET,2020-02-04,0,BR004,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000047,Nicole,Suarez,53,justin78@example.net,CA,25000,708,39743.44,CHECKING,MASS_MARKET,2017-08-23,1,BR020,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000048,Kevin,Riggs,60,contrerasangela@example.net,CA,25000,704,107670.07,SAVINGS,MASS_MARKET,2019-06-29,1,BR009,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000049,Dale,Humphrey,45,darrell18@example.org,TX,78361,591,13935.54,PREMIUM,AFFLUENT,2015-10-01,1,BR025,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000050,Joseph,Jacobs,23,james48@example.com,CA,67048,713,95603.3,CHECKING_SAVINGS,RETAIL,2022-07-08,1,BR014,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000051,John,Odonnell,45,davisrodney@example.com,IL,60347,635,1549.49,CHECKING,MASS_MARKET,2017-07-15,1,BR012,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000052,Bradley,Cook,45,danagreen@example.net,IL,58445,632,82923.51,PREMIUM,RETAIL,2015-09-17,1,BR002,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000053,Scott,Thornton,68,rodriguezsierra@example.net,NY,65140,594,31590.47,SAVINGS,MASS_MARKET,2016-09-30,1,BR018,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000054,Rebecca,Gardner,51,brandi26@example.org,FL,27314,752,146078.17,SAVINGS,RETAIL,2017-10-06,0,BR006,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000055,Bobby,Diaz,58,nolanjason@example.org,FL,29959,767,3815.48,CHECKING_SAVINGS,AFFLUENT,2019-03-23,1,BR023,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000056,Elizabeth,Gomez,47,vdickson@example.org,TX,80276,841,57443.0,CHECKING,AFFLUENT,2018-10-14,1,BR015,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000057,Sara,Young,38,theresacochran@example.com,NY,31187,618,45848.11,SAVINGS,RETAIL,2015-05-28,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000058,Angel,Doyle,30,kimberly63@example.com,NY,46804,717,41862.6,CHECKING,AFFLUENT,2020-12-21,1,BR013,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000059,Erik,Haynes,45,ebrennan@example.org,IL,80523,691,49739.37,CHECKING,RETAIL,2019-06-12,1,BR009,CORE_BANKING_v4.2,2026-05-28 18:59:13
CUST000060,James,Sellers,62,kevin33@example.org,TX,41823,850,16349.54,PREMIUM,AFFLUENT,2020-05-03,1,BR017,CORE_BANKING_v4.2,2026-05-28 18:59:13
